Wall time,Step,Value
1744738697.256815,1536,-46.33333206176758
1744738700.4831767,4096,-46.20000076293945
1744738701.467603,4864,-45.894737243652344
1744738703.2767825,6400,-45.849998474121094
1744738708.3413765,10496,-45.58000183105469
1744738708.9089363,11008,-45.66999816894531
1744738709.4744053,11520,-45.41999816894531
1744738709.7584758,11776,-45.400001525878906
1744738710.327323,12288,-45.15999984741211
1744738712.1558971,13824,-45.38999938964844
1744738712.4329338,14080,-45.45000076293945
1744738713.0236676,14592,-45.38999938964844
1744738715.7312307,16896,-45.2400016784668
1744738717.420558,18432,-45.09000015258789
1744738717.714384,18688,-44.81999969482422
1744738717.9936147,18944,-44.63999938964844
1744738718.2778735,19200,-44.54999923706055
1744738720.042278,20480,-44.119998931884766
1744738722.3692954,22528,-43.4900016784668
1744738724.5565586,24320,-43.65999984741211
1744738727.0729353,26368,-43.189998626708984
1744738727.928422,27136,-43.15999984741211
1744738728.2182982,27392,-43.5
1744738730.1994061,29184,-42.61000061035156
1744738731.901157,30464,-42.83000183105469
1744738734.1784334,32512,-41.709999084472656
1744738735.058384,33280,-41.59000015258789
1744738735.33936,33536,-41.5
1744738737.9033124,35840,-41.5099983215332
1744738738.4664245,36352,-41.41999816894531
1744738738.7563803,36608,-41.33000183105469
1744738741.0483036,38656,-42.2599983215332
1744738742.5219038,39936,-42.150001525878906
1744738743.6325192,40704,-41.7400016784668
1744738746.1928637,43008,-40.439998626708984
1744738746.4729803,43264,-40.41999816894531
1744738747.32833,44032,-40.0
1744738749.0708575,45568,-39.5
1744738749.3599603,45824,-39.88999938964844
1744738750.7775667,47104,-40.0099983215332
1744738751.331003,47616,-40.2400016784668
1744738751.606821,47872,-40.38999938964844
1744738752.7231884,48896,-40.47999954223633
1744738753.0102615,49152,-40.599998474121094
1744738755.4164493,50944,-40.939998626708984
1744738757.7566707,52992,-41.43000030517578
1744738758.0578496,53248,-41.709999084472656
1744738758.380046,53504,-41.95000076293945
1744738759.5907044,54528,-41.47999954223633
1744738762.9653065,57344,-41.81999969482422
1744738764.781706,58880,-41.81999969482422
1744738766.4552803,60160,-41.810001373291016
1744738767.311521,60928,-41.41999816894531
1744738770.7532685,64000,-40.5099983215332
1744738772.4573143,65536,-40.63999938964844
1744738773.8616598,66816,-40.58000183105469
1744738774.7144692,67584,-40.72999954223633
1744738775.8593404,68608,-40.939998626708984
1744738776.983374,69632,-41.08000183105469
1744738777.7532952,70144,-41.349998474121094
1744738783.2800174,75008,-40.5
1744738784.7122893,76288,-39.27000045776367
